TipoCredor,ClassificacaoCredor,NacionalOuInternacional,DepositoJudicialCredor,DividaTotalCredor,DividaAdiantadaCredor,PrimeiraParcelaAdiantamentoCredor,SegundaParcelaAdiantamentoCredor,RestantePagoConformePlanoCredor,ModoPagamento,PrecisaAdvogado,TipoProcesso,KitProcesso,ParticipouMediacao,Resultado
1.0,1.0,1.0,2.0,3454.0,3454.0,3109.0,345.0,0.0,1.0,2.0,1.0,26.0,2.0,2
2.0,2.0,1.0,1.0,98201.0,50000.0,45000.0,5000.0,48201.0,3.0,1.0,5.0,12.0,2.0,2
2.0,2.0,1.0,1.0,2171.0,2171.0,1954.0,217.0,0.0,3.0,1.0,5.0,12.0,2.0,2
2.0,2.0,1.0,2.0,31323.0,31323.0,28191.0,3132.0,0.0,2.0,1.0,5.0,12.0,2.0,2
2.0,1.0,1.0,2.0,11651.0,11651.0,10486.0,1165.0,0.0,2.0,1.0,3.0,19.0,2.0,2
1.0,1.0,1.0,2.0,1154778.0,50000.0,45000.0,5000.0,1104778.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,2362655.0,50000.0,45000.0,5000.0,2312655.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,9500.0,9500.0,8550.0,950.0,0.0,1.0,2.0,1.0,26.0,2.0,2
2.0,1.0,1.0,2.0,2009.0,2009.0,1808.0,201.0,0.0,2.0,2.0,3.0,8.0,2.0,2
2.0,1.0,1.0,2.0,3086.0,3086.0,2777.0,309.0,0.0,2.0,1.0,2.0,19.0,2.0,2
1.0,1.0,1.0,2.0,881118.0,50000.0,45000.0,5000.0,831118.0,1.0,2.0,1.0,26.0,2.0,2
2.0,2.0,1.0,1.0,53367.0,50000.0,45000.0,5000.0,3367.0,3.0,1.0,5.0,2.0,2.0,2
2.0,1.0,1.0,2.0,2002.0,2002.0,1802.0,200.0,0.0,2.0,1.0,2.0,19.0,2.0,2
1.0,1.0,1.0,2.0,196903.0,50000.0,45000.0,5000.0,146903.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,267837.0,50000.0,45000.0,5000.0,217837.0,1.0,2.0,1.0,26.0,2.0,2
1.0,3.0,1.0,2.0,237.0,237.0,213.0,24.0,0.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,10372359.0,50000.0,45000.0,5000.0,10322359.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,2340692.0,50000.0,45000.0,5000.0,2290692.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,1113117.0,50000.0,45000.0,5000.0,1063117.0,1.0,2.0,1.0,26.0,2.0,2
1.0,1.0,1.0,2.0,822895.0,50000.0,45000.0,5000.0,772895.0,1.0,2.0,1.0,26.0,2.0,2
