TipoCredor,ClassificacaoCredor,NacionalOuInternacional,DepositoJudicialCredor,DividaTotalCredor,DividaAdiantadaCredor,PrimeiraParcelaAdiantamentoCredor,SegundaParcelaAdiantamentoCredor,RestantePagoConformePlanoCredor,ModoPagamento,PrecisaAdvogado,TipoProcesso,KitProcesso,ParticipouMediacao,Resultado
2.00,1.00,1.00,0.00,8409.00,8409.00,7568.00,841.00,0.00,2.00,0.00,3.00,8.00,0.00,1
2.00,1.00,1.00,0.00,3014.00,3014.00,2713.00,301.00,0.00,2.00,0.00,2.00,21.00,0.00,1
2.00,1.00,1.00,0.00,7931.00,7931.00,7138.00,793.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,13100.00,13100.00,11790.00,1310.00,0.00,2.00,1.00,3.00,4.00,0.00,1
2.00,1.00,1.00,0.00,5355.00,5355.00,4819.00,535.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,8240.00,8240.00,7416.00,824.00,0.00,2.00,1.00,2.00,6.00,0.00,1
2.00,1.00,1.00,0.00,8820.00,8820.00,7938.00,882.00,0.00,2.00,1.00,2.00,4.00,0.00,1
2.00,1.00,1.00,0.00,1108.00,1108.00,997.00,111.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,14213.00,14213.00,12792.00,1421.00,0.00,2.00,1.00,3.00,4.00,0.00,1
2.00,1.00,1.00,0.00,2011.00,2011.00,1810.00,201.00,0.00,2.00,1.00,3.00,6.00,0.00,0
2.00,1.00,1.00,0.00,7512.00,7512.00,6761.00,751.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,16700.00,16700.00,15030.00,1670.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,25.00,25.00,22.00,2.00,0.00,2.00,1.00,2.00,6.00,0.00,1
2.00,1.00,1.00,0.00,2020.00,2020.00,1818.00,202.00,0.00,2.00,0.00,2.00,17.00,1.00,0
2.00,1.00,1.00,0.00,1609.00,1609.00,1449.00,161.00,0.00,2.00,1.00,3.00,6.00,0.00,0
2.00,1.00,1.00,0.00,343.00,343.00,309.00,34.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,4019.00,4019.00,3617.00,402.00,0.00,2.00,1.00,3.00,4.00,0.00,1
2.00,1.00,1.00,0.00,5060.00,5060.00,4554.00,506.00,0.00,2.00,0.00,3.00,17.00,0.00,1
2.00,1.00,1.00,0.00,8003.00,8003.00,7202.00,800.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,9155.00,9155.00,8239.00,916.00,0.00,2.00,1.00,3.00,4.00,0.00,1
2.00,1.00,1.00,0.00,2050.00,2050.00,1845.00,205.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,1253.00,1253.00,1127.00,125.00,0.00,2.00,0.00,3.00,21.00,0.00,1
2.00,1.00,1.00,0.00,13102.00,13102.00,11791.00,1310.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,1955.00,1955.00,1759.00,195.00,0.00,2.00,1.00,3.00,4.00,0.00,0
2.00,1.00,1.00,0.00,3886.00,3886.00,3497.00,389.00,0.00,2.00,1.00,2.00,19.00,0.00,1
2.00,1.00,1.00,0.00,7269.00,7269.00,6543.00,727.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,13218.00,13218.00,11896.00,1322.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,2609.00,2609.00,2348.00,261.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,7072.00,7072.00,6364.00,707.00,0.00,2.00,1.00,3.00,6.00,0.00,1
2.00,1.00,1.00,0.00,3000.00,3000.00,2700.00,300.00,0.00,2.00,1.00,2.00,19.00,0.00,1
2.00,1.00,1.00,0.00,4160.00,4160.00,3744.00,416.00,0.00,2.00,0.00,2.00,4.00,0.00,1
2.00,1.00,1.00,0.00,2239.00,2239.00,2015.00,224.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,12317.00,12317.00,11085.00,1232.00,0.00,2.00,1.00,3.00,19.00,0.00,1
2.00,1.00,1.00,0.00,3411.00,3411.00,3070.00,341.00,0.00,2.00,1.00,3.00,4.00,0.00,1
2.00,1.00,1.00,0.00,3550.00,3550.00,3195.00,355.00,0.00,2.00,1.00,3.00,4.00,0.00,1
2.00,1.00,1.00,0.00,2565.00,2565.00,2308.00,256.00,0.00,2.00,1.00,3.00,6.00,0.00,1
